Name,Address1,Address2,Address3,Phone,Website,Division,Divisional_HQ,Divisional_HQ_Phone,District,District_HQ,District_HQ_Phone,Opening_Hours,latitude,longitude
Balbriggan Garda Station,Drogheda Road,Balbriggan,Co. Dublin,+353 1 8020510,http://www.garda.ie/Stations/Default.aspx,Dublin Metropolitan Region Northern Division,Ballymun,+353 1 6664493,Balbriggan,Balbriggan,+353 1 8020510,Open 24hrs ,53.61437815,-6.191052919
Skerries Garda Station,Strand Street,Skerries,Co. Dublin,+353 1 8491211,http://www.garda.ie/Stations/Default.aspx,Dublin Metropolitan Region Northern Division,Ballymun,+353 1 6664493,Balbriggan,Balbriggan,+353 1 8020510,Closes at 9pm,53.57959038,-6.10696161
Lusk Garda Station,Dublin Road,Lusk,Co. Dublin,+353 1 8437222,http://www.garda.ie/Stations/Default.aspx,Dublin Metropolitan Region Northern Division,Ballymun,+353 1 6664493,Balbriggan,Balbriggan,+353 1 8020510,Closes at 9pm ,53.52343539,-6.167335346
Malahide Garda Station,1-2 St. James Terrace,Malahide,Co. Dublin,+353 1 6664600,http://www.garda.ie/Stations/Default.aspx,Dublin Metropolitan Region Northern Division,Ballymun,+353 1 6664493,Coolock,Coolock,+353 1 6664282,Closes at 9pm ,53.45110927,-6.151897022
Swords Garda Station,Main Street,Swords,Co. Dublin,+353 1 6664700,http://www.garda.ie/Stations/Default.aspx,Dublin Metropolitan Region Northern Division,Ballymun,+353 1 6664493,Coolock,Coolock,+353 1 6664282,Open 24hrs ,53.45606714,-6.221164734
Dublin Airport Garda Station,Dublin Airport,Cloghran,Co. Dublin,+353 1 6664950,http://www.garda.ie/Stations/Default.aspx,Dublin Metropolitan Region Northern Division,Ballymun,+353 1 6664493,Ballymun,Ballymun,+353 1 6664483,Closes at 9pm ,53.42977837,-6.245041004
Howth Garda Station,Dunbo Hill,Howth,Co. Dublin,+353 1 6664900,http://www.garda.ie/Stations/Default.aspx,Dublin Metropolitan Region Northern Division,Ballymun,+353 1 6664493,Raheny,Raheny,+353 1 6664382,Closes at 9pm,53.38735506,-6.068977549
Garristown Garda Station,Garristown,Co. Dublin,,+353 1 8354112,http://www.garda.ie/Stations/Default.aspx,Dublin Metropolitan Region Northern Division,Ballymun,+353 1 6664493,Balbriggan,Balbriggan,+353 1 8020510,Closes at 9pm ,53.56705171,-6.383869161
Blanchardstown Garda Station,Main Street,Blanchardstown,Dublin 15,+353 1 6667000,http://www.garda.ie/Stations/Default.aspx,Dublin Metropolitan Region Western Division,Blanchardstown,+353 1 6667000,Blanchardstown,Blanchardstown,+353 1 6667082,Open 24hrs ,53.38978396,-6.380770745
Ashbourne Garda Station,Ashbourne,Co. Meath,,+353 1 8010600,http://www.garda.ie/Stations/Default.aspx,Meath Division,Navan,+353 46 9036300,Ashbourne,Ashbourne,+353 1 8010600,Open 24hrs ,53.51138166,-6.396980308
Dunboyne Garda Station,Dunboyne,Co. Meath,,+353 1 8252211,http://www.garda.ie/Stations/Default.aspx,Meath Division,Navan,+353 46 9036300,Ashbourne,Ashbourne,+353 1 8010600,Closes at 9pm ,53.42095137,-6.476963398
Leixlip Garda Station,Leixlip,Co. Kildare,,+353 1 6667800,http://www.garda.ie/Stations/Default.aspx,Kildare Division,Naas,+353 45 884311,Leixlip,Leixlip,+353 1 6667800,Open 24hrs,53.36746653,-6.498336241
Lucan Garda Station,Main Street,Lucan,Co. Dublin,+353 1 6667300,http://www.garda.ie/Stations/Default.aspx,Dublin Metropolitan Region Western Division,Blanchardstown,+353 1 6667000,Lucan,Lucan,+353 1 6667382,Open 24hrs ,53.35608506,-6.450659464
Finglas Garda Station,Mellowes Road,Finglas,Dublin 11,+353 1 6667500,http://www.garda.ie/Stations/Default.aspx,Dublin Metropolitan Region Western Division,Blanchardstown,+353 1 6667000,Blanchardstown,Blanchardstown,+353 1 6667082,Open 24hrs,53.38967142,-6.306821102
Ballymun Garda Station,Main Street,Ballymun,Dublin 9,+353 1 6664400,http://www.garda.ie/Stations/Default.aspx,Dublin Metropolitan Region Northern Division,Ballymun,+353 1 6664493,Ballymun,Ballymun,+353 1 6664483,Open 24hrs ,53.39457808,-6.263771779
Santry Garda Station,35-37 Shanowen Road,Santry,Dublin 9,+353 1 6664000,http://www.garda.ie/Stations/Default.aspx,Dublin Metropolitan Region Northern Division,Ballymun,+353 1 6664493,Ballymun,Ballymun,+353 1 6664483,Closes at 9pm,53.38969671,-6.250576875
Coolock Garda Station,Oscar Traynor Road,Coolock,Dublin 5,+353 1 6664200,http://www.garda.ie/Stations/Default.aspx,Dublin Metropolitan Region Northern Division,Ballymun,+353 1 6664493,Coolock,Coolock,+353 1 6664282,Open 24hrs ,53.39033034,-6.201255612
Raheny Garda Station,All Saints Road,Raheny,Dublin 5,+353 1 6664300,http://www.garda.ie/Stations/Default.aspx,Dublin Metropolitan Region Northern Division,Ballymun,+353 1 6664493,Raheny,Raheny,+353 1 6664382,Open 24hrs ,53.37895784,-6.178143019
